edition_id,editeur_id,titre,infos
11220,Les Cieux découronnés,"{""editeur"":""J'ai Lu"",""isbn"":""9782290046701"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":256,""traduction"":""Étienne MENANTEAU"",""couverture"":""Corrado PARRINI""}"
11221,Les Chevaliers de la brune,"{""editeur"":""J'ai Lu"",""isbn"":""9782290043753"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":384,""traduction"":""Arnaud MOUSNIER-LOMPRÉ"",""couverture"":""Philippe CAZA""}"
11222,Les Voies d'Anubis,"{""editeur"":""J'ai Lu"",""isbn"":""9782277220116"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":480,""catalogue"":""2011"",""traduction"":""Gérard LEBEC"",""couverture"":""Philippe CAZA"",""format"":""11.0 x 16.5 cm""}"
11223,Le Palais du Déviant,"{""editeur"":""J'ai Lu"",""isbn"":""9782707116696"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":352,""traduction"":""Michel DEUTSCH"",""couverture"":""Barclay SHAW""}"
11224,Sur des mers plus ignorées...,"{""editeur"":""J'ai Lu"",""isbn"":""2782277223719"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":352,""traduction"":""France-Marie WATKINS"",""couverture"":""David A. HARDY""}"
11225,Les Pêcheurs du ciel,"{""editeur"":""J'ai Lu"",""isbn"":""9782290045128"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":256,""traduction"":""Michel DEUTSCH"",""couverture"":""Philippe CAZA""}"
11226,Le Poids de son regard,"{""editeur"":""J'ai Lu"",""isbn"":""9782277228745"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":544,""traduction"":""Pierre-Paul DURASTANTI"",""couverture"":""Philippe CAZA""}"
11227,Poker d'âmes,"{""editeur"":""J'ai Lu"",""isbn"":""9782277236020"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":674,""traduction"":""Jean-Baptiste GRASSET & Isabelle STOIANOV"",""couverture"":""Philippe CAZA"",""catégorie"":""9"", ""colection"":""Science-Fiction"", ""numéro"":""3602""}"
11228,Date d'expiration,"{""editeur"":""J'ai Lu"",""isbn"":""9782277041548"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":576,""traduction"":""Isabelle SAINT-MARTIN"",""couverture"":""Philippe CAZA""}"
11229,Les Puissances de l'invisible - 1,"{""isbn"":""9782207253945"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":352,""Traduction"":""Michelle CHARRIER"",""illustration"":""MANCHU""}"
11230,Les Puissances de l'invisible - 2,"{""isbn"":""9782207255433"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":352,""traduction"":""Michelle CHARRIER"",""illustration"":""MANCHU""}"
11231,Les Puissances de l'invisible,"{""isbn"":""9782290356180"",""langue"":""fra"",""publication"":""2007-05-07"",""pages"":704,""traduction"":""Michelle CHARRIER"",""couverture"":""Benjamin CARRÉ"",""Format"":""11.0 x 17.8 cm""}"
11232,A deux pas du néant,"{""isbn"":""9782207259474"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":512,""traduction"":""Jean-Pierre PUGI"",""Illustration"":""MANCHU""}"
11233,Parmi les tombes,"{""isbn"":""9782352946779"",""langue"":""fra"",""publication"":""1998-11-01"",""pages"":504,""traduction"":""Maxime LE DAIN"",""Photographie de couverture"": ""Valentino Sani / Trevillion Images"", ""Design de couverture"":""Fabrice Borio.""}"
11234,Itinéraires Nocturnes,"{""isbn"":""9782207260364"",""langue"":""fra"",""publication"":""2011-02-01"",""pages"":320}"
