"oeuvre_id","edition_id","infos"
11266,11220,"{}"
11267,11221,"{}"
11268,11222,"{}"
11269,11223,"{}"
11270,11224,"{}"
11271,11225,"{}"
11272,11226,"{}"
11273,11227,"{}"
11279,11234,"{""titre"":""Vers le bas de la colline""}"
11281,11234,"{""titre"":""Turbulences""}"
11282,11234,"{""titre"":""La Better Boy""}"
11283,11234,"{""titre"":""Par longs chemins""}"
11284,11234,"{""titre"":""Où ils se cachent""}"
11285,11234,"{""titre"":""Itinéraire""}"
11286,11234,"{""titre"":""Cinquante cents""}"
11287,11234,"{""titre"":""Au tréfonds de mon être""}"
11289,11234,"{""titre"":""Pat Moore""}"
11290,11234,"{""titre"":""Une âme dans une bouteille""}"
11291,11234,"{""titre"":""Le Réparateur de bibles""}"
11292,11234,"{""titre"":""L'Heure de Babel""}"
