abonnement_id,adherent_id,panier_id
28129,258899,2
28130,259553,2
28144,608,2
28178,1569,2
28208,257941,2
28213,314,2
28141,89,3
28172,165,3
28173,258209,3
28188,257603,3
28214,173,3
28215,258090,3
28945,258866,4
29034,260475,7
28126,260560,7
28194,166159,7
29107,260196,8
29223,244231,8
29265,257882,9
29390,258685,9
28984,260053,9
29534,214,15
28221,257585,2
28229,257920,2
28261,190584,2
28270,257990,2
28284,321,2
28244,97,3
28307,144,3
28309,260015,3
29504,268,8
29576,259871,11
29004,260464,11
28319,323,2
28330,258867,2
28396,58,2
28310,27174,3
28314,417,3
28353,258486,3
28355,1573,3
28369,42348,3
28378,145536,3
28384,47476,3
28394,258079,3
28401,19,3
28404,258902,3
28359,257548,7
28417,1583,2
28439,258557,2
28446,549,2
28497,259544,2
28412,258911,3
28419,258969,3
28444,2945,3
28447,259216,3
28452,259156,3
28463,259452,3
28475,259394,3
28481,180698,3
28486,259337,3
28494,257879,3
28410,444,4
28442,551,4
29029,260475,7
29275,260812,7
29575,235976,8
29346,258986,8
29143,259291,9
29073,259190,11
29200,258342,11
28994,259986,11
28406,539,17
28499,259568,2
28503,259871,2
28506,258901,2
28508,42252,2
29559,257939,2
28525,259743,2
28540,113,2
28548,259879,2
28555,375,2
28557,259964,2
28562,573,2
28580,258773,2
28586,259716,2
28543,584,3
28547,184,3
28571,258841,3
28581,260053,3
28504,258180,4
28518,259331,4
28539,120682,4
28561,259412,4
28948,259716,8
28971,258721,9
29185,210622,10
28585,1579,13
28588,111932,13
28546,259444,14
28573,260018,14
28593,531,2
28595,380,2
28611,260063,2
28612,258842,2
29005,258428,2
28640,94,2
29098,258126,2
28668,259491,2
28608,49909,3
28622,259263,3
28633,259786,3
28634,50,3
28664,359,3
28600,139,4
28631,147,4
28679,217385,7
29082,113,8
29099,260422,8
29530,259541,8
29338,531,8
29000,259963,9
29453,259970,11
29306,259607,11
28684,259744,2
28686,260281,2
28692,258820,2
28695,258218,2
28697,374,2
28712,260402,2
28731,260551,2
28737,258777,2
28744,258294,2
28704,260376,3
28709,260393,3
28717,260444,3
28726,258961,3
28747,259645,3
28749,259382,3
28756,258659,3
28685,589,4
29539,260451,4
29031,260475,7
28759,260404,7
28764,260297,7
28765,260314,7
28767,260332,7
29289,260406,7
28770,260312,7
28771,260378,7
28772,260390,7
28773,260259,7
29072,258903,8
29613,260772,8
29191,258155,8
29541,259398,8
29180,506,9
28988,260639,10
29568,260821,11
29006,258428,11
29093,260800,11
29020,1539,11
29041,260376,11
29108,185,11
28978,258990,11
28758,258522,17
28789,258671,2
29142,260682,2
28808,259805,2
28809,258216,2
28811,260435,2
28842,260423,2
29557,550,2
28850,260434,2
28859,81730,2
28790,258425,3
28797,260527,3
28802,362,3
28812,258509,3
28855,260672,3
28800,56879,4
28854,260666,4
28777,260379,7
28779,260377,7
28781,259686,7
28782,259366,7
29027,260475,7
29239,260081,7
29028,260475,7
29032,260475,7
29030,260475,7
29026,260475,7
28834,260619,7
29033,260475,7
28862,260688,7
29156,258284,8
29551,260368,8
29549,259964,8
29617,260512,8
29043,242178,8
29181,1559,8
29437,258163,8
28957,258474,8
29183,260586,9
29042,260376,9
29277,260681,9
29160,258723,11
29021,259553,11
29023,155215,11
29153,258768,11
28958,258474,11
29141,257867,11
29162,506,11
29434,258561,11
29018,94,11
29182,259230,11
29022,14747,11
28885,258846,2
28901,260660,2
28927,259555,2
28872,260708,3
28892,152572,3
28895,260746,3
28896,258768,3
28908,260765,4
29285,260793,7
29278,260689,7
28886,260733,7
28890,260738,7
28891,260740,7
28898,260748,7
28899,260751,7
28902,260438,7
28905,260023,7
28906,260474,7
28910,260767,7
28922,260784,7
28923,260785,7
28976,258504,8
29436,156,8
29439,260017,8
29218,259191,8
28985,260456,8
29222,258036,8
29475,257847,8
29578,258594,8
28942,259261,8
28952,260465,8
28955,260778,8
28961,259137,8
29284,260714,9
29121,259402,9
28940,257844,9
28941,28504,9
28943,258234,9
28950,259444,9
28960,214,9
29148,260515,11
28990,260672,11
29114,259057,11
29140,259744,11
29350,260775,11
29208,258846,11
29139,260635,11
28946,258866,11
28949,259716,11
28951,1613,11
29276,260681,13
28974,260697,2
28991,259194,2
28993,439,2
28997,260158,2
29001,259270,2
28968,258721,4
29016,260758,7
29035,260475,7
29036,260475,7
29037,260475,7
29038,260475,7
29039,260475,7
28964,425,8
28966,260695,8
28972,258294,8
28980,258990,8
28982,258510,8
29078,257725,8
28965,258775,9
28973,258773,9
28992,259439,9
29008,21678,9
29047,258281,9
29050,259436,9
29053,443,9
29060,258942,9
29083,258622,9
29084,258770,9
29088,258911,9
29102,173,9
29057,577,10
29063,260015,10
29064,260519,10
29068,257961,10
28970,258721,11
28975,260697,11
28986,260456,11
28989,260639,11
28995,236,11
28996,259928,11
29079,257725,11
29003,259270,11
29007,21678,11
29009,259609,11
29011,545,11
29113,260737,2
29137,259380,2
29216,260486,2
29173,259435,3
29179,258466,4
29188,363,4
29241,260081,7
29104,237779,8
29115,260402,8
29118,257660,8
29119,249807,8
29109,258794,9
29110,47476,9
29112,85,9
29147,260201,9
29167,125845,9
29174,259435,9
29189,363,9
29199,112452,9
29202,259024,9
29210,266,9
29212,120,9
29213,586,9
29132,257879,10
29194,259645,10
29236,356,10
29105,473,11
29106,24312,11
29111,85,11
29116,260402,11
29117,257824,11
29126,77,11
29127,336,11
29129,165,11
29133,257879,11
29134,259392,11
29146,1571,11
29168,125845,11
29204,260375,11
29172,258522,11
29360,260249,11
29178,258466,11
29281,260714,2
29546,260252,2
29339,260783,2
29347,260772,3
29355,258184,3
29271,259811,4
29242,260081,7
29243,260081,7
29244,260081,7
29245,260081,7
29249,260018,8
29250,178012,8
29252,258065,8
29255,258151,8
29268,259857,8
29291,260759,8
29293,111932,8
29295,258801,8
29299,258809,8
29300,260224,8
29302,431,8
29310,169,8
29313,260223,8
29248,260081,9
29258,258757,9
29270,259463,9
29290,89,9
29296,258799,9
29304,258095,9
29307,259412,9
29554,359,9
29320,457,9
29332,119994,9
29274,259811,10
29340,260783,10
29351,260775,10
29253,258151,11
29256,539,11
29257,258757,11
29267,259857,11
29272,259811,11
29283,260714,11
29292,260759,11
29294,111932,11
29297,1579,11
29298,258809,11
29301,260224,11
29337,257772,13
29389,166,2
29457,166,2
29460,259621,2
29368,259039,3
29369,260175,3
29415,158810,3
29416,158811,3
29379,257860,7
29493,190584,7
29420,259706,7
29421,259706,7
29422,259706,7
29423,259706,7
29424,259706,7
29356,259543,8
29362,260249,8
29363,139,8
29365,259040,8
29372,260749,8
29380,258948,8
29491,1551,8
29385,258075,8
29387,260813,8
29393,258634,8
29396,436,8
29398,260225,8
29399,259605,8
29377,260594,9
29412,259805,9
29406,166,9
29408,212873,9
29550,259607,9
29444,259176,9
29388,259337,10
29395,260492,10
29407,42348,10
29410,258774,10
29411,259452,10
29364,139,11
29384,54498,11
29391,259452,11
29394,260142,11
29397,260225,11
29400,259605,11
29401,458,11
29404,342,11
29409,258774,11
29442,257629,11
29445,259176,11
29447,260660,11
29451,535,11
29496,210,2
29503,145109,2
29514,259847,2
29531,259541,2
29466,260711,3
29469,239121,3
29609,260830,3
29473,260776,4
29495,210,4
29487,190584,7
29488,190584,7
29489,190584,7
29566,260654,7
29589,260828,7
29588,260827,7
29590,260007,7
29635,260007,7
29467,239121,8
29470,258443,8
29482,258865,8
29497,210,8
29518,260711,8
29553,260290,8
29562,622,8
29620,258502,8
29574,260285,8
29602,258903,8
29603,260196,8
29479,417,9
29481,251,9
29499,258222,9
29510,562,9
29516,258079,9
29519,260746,9
29571,237834,9
29464,259156,10
29465,413,10
29468,239121,10
29480,259786,10
29513,117,10
29524,260136,10
29471,258443,11
29472,374,11
29474,260776,11
29476,257847,11
29477,257603,11
29478,117,11
29483,259786,11
29484,375,11
29486,258298,11
29500,258222,11
29502,260285,11
29505,268,11
29561,260821,12
29501,260285,14
29511,562,14
29584,260681,15
29639,260841,1
29645,260844,1
29642,260451,2
29643,260842,2
29640,260841,8
29641,260841,11
28127,4,1
28128,260265,1
28131,356,1
28132,258794,1
28133,21,1
