edition_id,editeur_id,isbn13,publication_date,num_pages,num_catalogue,langue_code,titre,infos
11220,2267,9782290046701,1998-11-01,,,fra,Les Cieux découronnés,"{""pages"":256,""traduction"":""Étienne MENANTEAU"",""couverture"":""Corrado PARRINI""}"
11221,2267,9782290043753,1998-11-01,,,fra,Les Chevaliers de la brune,"{""pages"":384,""traduction"":""Arnaud MOUSNIER-LOMPRÉ"",""couverture"":""Philippe CAZA""}"
11222,2267,9782277220116,1998-11-01,,,fra,Les Voies d'Anubis,"{""pages"":480,""catalogue"":""2011"",""traduction"":""Gérard LEBEC"",""couverture"":""Philippe CAZA"",""format"":""11.0 x 16.5 cm""}"
11223,2267,9782707116696,1998-11-01,,,fra,Le Palais du Déviant,"{""pages"":352,""traduction"":""Michel DEUTSCH"",""couverture"":""Barclay SHAW""}"
11224,2267,2782277223719,1998-11-01,,,fra,Sur des mers plus ignorées...,"{""pages"":352,""traduction"":""France-Marie WATKINS"",""couverture"":""David A. HARDY""}"
11225,2267,9782290045128,1998-11-01,,,fra,Les Pêcheurs du ciel,"{""pages"":256,""traduction"":""Michel DEUTSCH"",""couverture"":""Philippe CAZA""}"
11226,2267,9782277228745,1998-11-01,,,fra,Le Poids de son regard,"{""pages"":544,""traduction"":""Pierre-Paul DURASTANTI"",""couverture"":""Philippe CAZA""}"
11227,2267,9782277236020,1998-11-01,,,fra,Poker d'âmes,"{""pages"":674,""traduction"":""Jean-Baptiste GRASSET & Isabelle STOIANOV"",""couverture"":""Philippe CAZA""}"
11228,2267,9782277041548,1998-11-01,,,fra,Date d'expiration,"{""pages"":576,""traduction"":""Isabelle SAINT-MARTIN"",""couverture"":""Philippe CAZA""}"
11229,2267,9782207253945,1998-11-01,,,fra,Les Puissances de l'invisible - 1,"{""pages"":352,""Traduction"":""Michelle CHARRIER"",""illustration"":""MANCHU""}"
11230,2267,9782207255433,1998-11-01,,,fra,Les Puissances de l'invisible - 2,"{""pages"":352,""traduction"":""Michelle CHARRIER"",""illustration"":""MANCHU""}"
11231,2267,9782290356180,2007-05-07,,,fra,Les Puissances de l'invisible,"{""pages"":704,""traduction"":""Michelle CHARRIER"",""couverture"":""Benjamin CARRÉ"",""Format"":""11.0 x 17.8 cm""}"
11232,2267,9782207259474,1998-11-01,,,fra,A deux pas du néant,"{""pages"":512,""traduction"":""Jean-Pierre PUGI"",""Illustration"":""MANCHU}"
11233,2267,9782352946779,1998-11-01,,,fra,Parmi les tombes,"{""pages"":504,""Traduction"":""Maxime LE DAIN"",""Photographie de couverture"": ""Valentino Sani / Trevillion Images"", ""Design de couverture"":""Fabrice Borio.""}"
11234,2267,9782207260364,2011-02-01,,,fra,Itinéraires Nocturnes,"{""pages"":320}"
