oeuvre_id,titre,langue_code,genre_id,infos
11266,The Skies Discrowned,eng,878,"{""première parution"":""1976""}"
11267,The Drawing of the Dark,eng,878,"{""première parution"":""1979""}"
11268,The Anubis Gates,eng,878,"{""première parution"":""1983"",""récompenses"":[""Philip K. Dick"",""Apollo"",""Science Fiction Chronicle""]}"
11269,Dinner at Deviant's Palace,eng,878,"{""première parution"":""1985"",""récompenses"":[""Philip K. Dick""]}"
11270,On Stranger Tides,eng,878,"{""première parution"":""1987""}"
11271,An Epitaph in Rust,eng,878,"{""première parution"":""1989""}"
11272,The Stress of Her Regard,eng,878,"{""première parution"":""1989""}"
11273,Last Call,eng,878,"{""première parution"":""1992"",""serie"":""Fault Lines"",""récompenses"":[""Locus"",""World Fantasy""]}"
11274,Expiration Date,eng,878,"{""première parution"":""1995"",""serie"":""Fault Lines"",""récompenses"":[""Locus""]}"
11275,Declare,eng,878,"{""première parution"":""2001"",""récompenses"":[""World Fantasy""]}"
11276,Three Days to Never,eng,878,"{""première parution"":""2006""}"
11277,Hide Me Among the Graves,eng,878,"{""première parution"":""2012""}"
11278,Earthquake Weather,eng,878,"{""première parution"":""1997"",""serie"":""Fault Lines"",""récompenses"":[""Locus""]}"
11279,The Way Down the Hill,eng,878,"{""première parution"":""1982""}"
11280,Night Moves,eng,878,"{""première parution"":""1986""}"
11281,Medusa's Web,eng,878,"{""première parution"":""2016""}"
11282,The Better Boy,eng,878,"{""première parution"":""1991""}"
11283,We Traverse Afar,eng,878,"{""première parution"":""1993""}"
11284,Where They Are Hid,eng,878,"{""première parution"":""1995""}"
11285,Itinerary,eng,878,"{""première parution"":""1999""}"
11286,Fifty Cents,eng,878,"{""première parution"":""2003""}"
11287,Through and Through,eng,878,"{""première parution"":""2003""}"
11289,Pat Moore,eng,878,"{""première parution"":""2004""}"
11290,A Soul in a Bottle,eng,878,"{""première parution"":""2006""}"
11291,The Bible Repairman,eng,878,"{""première parution"":""2006""}"
11292,The Hour of Babel,eng,878,"{""première parution"":""2008""}"
11293,Parallel Lines,eng,878,"{""première parution"":""2010""}"
11294,The Governor,eng,878,"{""première parution"":""2018""}"
11295,Alternate Routes,eng,878,"{""première parution"":""2018"",""serie"":""Vickery and Castine""}"
11296,Forced Perspectives,eng,878,"{""première parution"":""2020"",""serie"":""Vickery and Castine""}"
11297,Stolen Skies,eng,878,"{""première parution"":""2022"",""serie"":""Vickery and Castine""}"
11298,My Brother's Keeper,eng,878,"{""première parution"":""2023""}"
