abonnement_id,created_at,adherent_id,panier_id,date_debut,nombre,montant,mode_paiement_id,saison_id
29107,2025-02-09 16:31:43.10943+00,260196,8,,,,,1
29265,2025-02-09 16:31:43.10943+00,257882,9,,,,,1
29034,2025-02-09 16:31:43.10943+00,260475,7,,,,,1
28126,2025-02-09 16:31:43.10943+00,260560,7,,,,,1
28127,2025-02-09 16:31:43.10943+00,4,1,,,,,1
28128,2025-02-09 16:31:43.10943+00,260265,1,,,,,1
28129,2025-02-09 16:31:43.10943+00,258899,2,,,,,1
28130,2025-02-09 16:31:43.10943+00,259553,2,,,,,1
28131,2025-02-09 16:31:43.10943+00,356,1,,,,,1
28132,2025-02-09 16:31:43.10943+00,258794,1,,,,,1
28133,2025-02-09 16:31:43.10943+00,21,1,,,,,1
29223,2025-02-09 16:31:43.10943+00,244231,8,,,,,1
28135,2025-02-09 16:31:43.10943+00,220,1,,,,,1
28136,2025-02-09 16:31:43.10943+00,121,1,,,,,1
28137,2025-02-09 16:31:43.10943+00,236077,1,,,,,1
28138,2025-02-09 16:31:43.10943+00,218,1,,,,,1
28139,2025-02-09 16:31:43.10943+00,258821,1,,,,,1
28140,2025-02-09 16:31:43.10943+00,258634,1,,,,,1
28141,2025-02-09 16:31:43.10943+00,89,3,,,,,1
28142,2025-02-09 16:31:43.10943+00,257002,1,,,,,1
28143,2025-02-09 16:31:43.10943+00,258065,1,,,,,1
28144,2025-02-09 16:31:43.10943+00,608,2,,,,,1
28145,2025-02-09 16:31:43.10943+00,258545,1,,,,,1
28146,2025-02-09 16:31:43.10943+00,18277,1,,,,,1
28147,2025-02-09 16:31:43.10943+00,28525,1,,,,,1
28148,2025-02-09 16:31:43.10943+00,512,1,,,,,1
28149,2025-02-09 16:31:43.10943+00,215,1,,,,,1
28150,2025-02-09 16:31:43.10943+00,424,1,,,,,1
28151,2025-02-09 16:31:43.10943+00,146,1,,,,,1
28152,2025-02-09 16:31:43.10943+00,120713,1,,,,,1
28153,2025-02-09 16:31:43.10943+00,7303,1,,,,,1
28154,2025-02-09 16:31:43.10943+00,212,1,,,,,1
28155,2025-02-09 16:31:43.10943+00,258474,1,,,,,1
28156,2025-02-09 16:31:43.10943+00,258315,1,,,,,1
28157,2025-02-09 16:31:43.10943+00,258770,1,,,,,1
28158,2025-02-09 16:31:43.10943+00,258615,1,,,,,1
28159,2025-02-09 16:31:43.10943+00,258355,1,,,,,1
28160,2025-02-09 16:31:43.10943+00,402,1,,,,,1
28161,2025-02-09 16:31:43.10943+00,145714,1,,,,,1
28162,2025-02-09 16:31:43.10943+00,588,1,,,,,1
29390,2025-02-09 16:31:43.10943+00,258685,9,,,,,1
28164,2025-02-09 16:31:43.10943+00,258563,1,,,,,1
28165,2025-02-09 16:31:43.10943+00,258618,1,,,,,1
28166,2025-02-09 16:31:43.10943+00,106,1,,,,,1
28167,2025-02-09 16:31:43.10943+00,258809,1,,,,,1
28168,2025-02-09 16:31:43.10943+00,81,1,,,,,1
28169,2025-02-09 16:31:43.10943+00,311,1,,,,,1
28170,2025-02-09 16:31:43.10943+00,423,1,,,,,1
28171,2025-02-09 16:31:43.10943+00,20024,1,,,,,1
28172,2025-02-09 16:31:43.10943+00,165,3,,,,,1
28173,2025-02-09 16:31:43.10943+00,258209,3,,,,,1
28174,2025-02-09 16:31:43.10943+00,128,1,,,,,1
28175,2025-02-09 16:31:43.10943+00,258151,1,,,,,1
28176,2025-02-09 16:31:43.10943+00,258234,1,,,,,1
28177,2025-02-09 16:31:43.10943+00,120,1,,,,,1
28178,2025-02-09 16:31:43.10943+00,1569,2,,,,,1
28180,2025-02-09 16:31:43.10943+00,259976,1,,,,,1
28181,2025-02-09 16:31:43.10943+00,411,1,,,,,1
