id_livraison,semaine,livre,qte,depot,annee,jour,panier,id_abonnement
1985261,51,0,1,35,2025,2025-12-18,1,28126
1985260,50,0,1,35,2025,2025-12-11,1,28126
1985259,49,0,1,35,2025,2025-12-04,1,28126
1985258,48,0,1,35,2025,2025-11-27,1,28126
1985257,47,0,1,35,2025,2025-11-20,1,28126
1985256,46,0,1,35,2025,2025-11-13,1,28126
1985255,45,0,1,35,2025,2025-11-06,1,28126
1985254,44,0,1,35,2025,2025-10-30,1,28126
1985253,43,0,1,35,2025,2025-10-23,1,28126
1985252,42,0,1,35,2025,2025-10-16,1,28126
1985251,41,0,1,35,2025,2025-10-09,1,28126
1985250,40,0,1,35,2025,2025-10-02,1,28126
1985249,39,0,1,35,2025,2025-09-25,1,28126
1985248,38,0,1,35,2025,2025-09-18,1,28126
1985247,37,0,1,35,2025,2025-09-11,1,28126
1985246,36,0,1,35,2025,2025-09-04,1,28126
1985245,35,0,1,35,2025,2025-08-28,1,28126
1985244,34,0,1,35,2025,2025-08-21,1,28126
1985243,33,0,1,35,2025,2025-08-14,1,28126
1985242,32,0,1,35,2025,2025-08-07,1,28126
1985241,31,0,1,35,2025,2025-07-31,1,28126
1985240,30,0,1,35,2025,2025-07-24,1,28126
1985239,29,0,1,35,2025,2025-07-17,1,28126
1985238,28,0,1,35,2025,2025-07-10,1,28126
1985237,27,0,1,35,2025,2025-07-03,1,28126
1985236,26,0,1,35,2025,2025-06-26,1,28126
1985235,25,0,1,35,2025,2025-06-19,1,28126
1985234,24,0,1,35,2025,2025-06-12,1,28126
1985233,23,0,1,35,2025,2025-06-05,1,28126
1985232,22,0,1,35,2025,2025-05-30,1,28126
1985231,21,0,1,35,2025,2025-05-22,1,28126
1985230,20,0,1,35,2025,2025-05-15,1,28126
1985229,19,0,1,35,2025,2025-05-09,1,28126
1985228,18,0,1,35,2025,2025-05-02,1,28126
1985227,17,0,1,35,2025,2025-04-24,1,28126
1985226,16,0,1,35,2025,2025-04-17,1,28126
1985225,15,0,1,35,2025,2025-04-10,1,28126
1985224,14,0,1,35,2025,2025-04-03,1,28126
1985223,13,0,1,35,2025,2025-03-27,1,28126
1985222,12,0,1,35,2025,2025-03-20,1,28126
1985221,11,0,1,35,2025,2025-03-13,1,28126
1985220,10,0,1,35,2025,2025-03-06,1,28126
1985219,9,0,1,35,2025,2025-02-27,1,28126
1985218,8,0,1,35,2025,2025-02-20,1,28126
1985217,7,0,1,35,2025,2025-02-13,1,28126
1985216,6,0,1,35,2025,2025-02-06,1,28126
1985215,5,1,1,35,2025,2025-01-30,1,28126
1985214,4,1,1,35,2025,2025-01-23,1,28126
1985213,3,1,1,35,2025,2025-01-16,1,28126
1985212,2,1,1,35,2025,2025-01-09,1,28126
1985262,2,1,1,28,2025,2025-01-07,1,28127
1985263,3,1,1,28,2025,2025-01-14,1,28127
1985264,4,1,1,28,2025,2025-01-21,1,28127
1985265,5,1,1,28,2025,2025-01-28,1,28127
1985266,6,1,1,28,2025,2025-02-04,1,28127
1985267,7,0,1,28,2025,2025-02-11,1,28127
1985268,8,0,1,28,2025,2025-02-18,1,28127
1985269,9,0,1,28,2025,2025-02-25,1,28127
1985270,10,0,1,28,2025,2025-03-04,1,28127
1985271,11,0,1,28,2025,2025-03-11,1,28127
1985272,12,0,1,28,2025,2025-03-18,1,28127
1985273,13,0,1,28,2025,2025-03-25,1,28127
1985274,14,0,1,28,2025,2025-04-01,1,28127
1985275,15,0,1,28,2025,2025-04-08,1,28127
1985276,16,0,1,28,2025,2025-04-15,1,28127
1985277,17,0,1,28,2025,2025-04-22,1,28127
1985278,18,0,1,28,2025,2025-04-29,1,28127
1985279,19,0,1,28,2025,2025-05-06,1,28127
1985280,20,0,1,28,2025,2025-05-13,1,28127
1985281,21,0,1,28,2025,2025-05-20,1,28127
1985282,22,0,1,28,2025,2025-05-27,1,28127
1985283,23,0,1,28,2025,2025-06-03,1,28127
1985284,24,0,1,28,2025,2025-06-10,1,28127
1985285,25,0,1,28,2025,2025-06-17,1,28127
1985286,26,0,1,28,2025,2025-06-24,1,28127
1985287,27,0,1,28,2025,2025-07-01,1,28127
1985288,28,0,1,28,2025,2025-07-08,1,28127
1985289,29,0,1,28,2025,2025-07-15,1,28127
1985290,30,0,1,28,2025,2025-07-22,1,28127
1985291,31,0,1,28,2025,2025-07-29,1,28127
1985292,32,0,1,28,2025,2025-08-05,1,28127
1985293,33,0,1,28,2025,2025-08-12,1,28127
1985294,34,0,1,28,2025,2025-08-19,1,28127
1985295,35,0,1,28,2025,2025-08-26,1,28127
1985296,36,0,1,28,2025,2025-09-02,1,28127
1985297,37,0,1,28,2025,2025-09-09,1,28127
1985298,38,0,1,28,2025,2025-09-16,1,28127
1985299,39,0,1,28,2025,2025-09-23,1,28127
1985300,40,0,1,28,2025,2025-09-30,1,28127
1985301,41,0,1,28,2025,2025-10-07,1,28127
1985302,42,0,1,28,2025,2025-10-14,1,28127
1985303,43,0,1,28,2025,2025-10-21,1,28127
1985304,44,0,1,28,2025,2025-10-28,1,28127
1985305,45,0,1,28,2025,2025-11-04,1,28127
1985306,46,0,1,28,2025,2025-11-10,1,28127
1985307,47,0,1,28,2025,2025-11-18,1,28127
1985308,48,0,1,28,2025,2025-11-25,1,28127
1985309,49,0,1,28,2025,2025-12-02,1,28127
1985310,50,0,1,28,2025,2025-12-09,1,28127
1985311,51,0,1,28,2025,2025-12-16,1,28127
1985312,2,1,1,40,2025,2025-01-10,1,28128
1985313,3,1,1,40,2025,2025-01-17,1,28128
1985314,4,1,1,40,2025,2025-01-24,1,28128
1985315,5,1,1,40,2025,2025-01-31,1,28128
1985316,6,0,1,40,2025,2025-02-07,1,28128
1985317,7,0,1,40,2025,2025-02-14,1,28128
1985318,8,0,1,40,2025,2025-02-21,1,28128
1985319,9,0,1,40,2025,2025-02-28,1,28128
1985320,10,0,1,40,2025,2025-03-07,1,28128
1985321,11,0,1,40,2025,2025-03-14,1,28128
1985322,12,0,1,40,2025,2025-03-21,1,28128
1985323,13,0,1,40,2025,2025-03-28,1,28128
1985324,14,0,1,40,2025,2025-04-04,1,28128
1985325,15,0,1,40,2025,2025-04-11,1,28128
1985326,16,0,1,40,2025,2025-04-18,1,28128
1985327,17,0,1,40,2025,2025-04-25,1,28128
1985328,18,0,1,40,2025,2025-05-02,1,28128
1985329,19,0,1,40,2025,2025-05-09,1,28128
1985330,20,0,1,40,2025,2025-05-16,1,28128
1985331,21,0,1,40,2025,2025-05-23,1,28128
1985332,22,0,1,40,2025,2025-05-30,1,28128
1985333,23,0,1,40,2025,2025-06-06,1,28128
1985334,24,0,1,40,2025,2025-06-13,1,28128
1985335,25,0,1,40,2025,2025-06-20,1,28128
1985336,26,0,1,40,2025,2025-06-27,1,28128
1985337,27,0,1,40,2025,2025-07-04,1,28128
1985338,28,0,1,40,2025,2025-07-11,1,28128
1985339,29,0,1,40,2025,2025-07-18,1,28128
1985340,30,0,1,40,2025,2025-07-25,1,28128
1985341,31,0,1,40,2025,2025-08-01,1,28128
