vegetable_id,vegetable
1,aubergine
2,tomate
3,pomme de terre
4,carotte
5,betterave rouge
6,bette
7,topinambour
8,céleri rave
9,chou blanc
10,chou brocoli
11,chou chinois
12,chou de Bruxelles
13,chou de Milan
14,chou fleur
15,chou pointu
16,chou rave
17,chou rouge
18,choucroute
19,claytone/pourpier
20,concombre
21,courge
22,courgette
23,échalote
24,endive
25,épinard
26,fenouil
27,haricot beurre
28,haricot plat
29,haricot vert
30,salade
31,maïs
32,mesclum de jeune pousse
33,navet
35,oignon
37,panais
38,persil
39,petit pois
41,champignon
42,poireau
43,pois croquant
44,pois mangetout
45,poivron
47,radis asiatique rouge
48,radis noir long / rond
49,radis rose
50,rhubarbe
52,rutabaga
54,tomate cerise
55,basilic vert
