N° Panier	Code Veg	Végétal	Végétal pour MAJ	Prix réf végétal	Quantité Végétal	Qtte Veg panier Arondie
11460	728		0	0,86 €	20	20,00
11460	727		0	1,04 €	20	20,00
11460	140		0	0,94 €	10	10,00
11460	731		0	0,86 €	10	10,00
11460	321		0	0,94 €	50	50,00
11460	406		0	0,86 €	10	10,00
11460	734		0	0,70 €	50	50,00
11460	735		0	0,70 €	50	50,00
11460	404		0	0,13 €	91	91,00
11460	1328		0	1,90 €	70	70,00
11461	129		0	0,06 €	144	144,00
11461	455		0	0,09 €	864	864,00
11461	454		0	0,09 €	432	432,00
11463	127		0	0,07 €	288	288,00
11464	578			1,39 €	1	1,00
11464	801			2,30 €	1,5	1,50
11464	711			3,50 €	1,4	1,40
11464	511			4,09 €	1	1,00
11464	568			4,00 €	0,21	0,21
11465	511			4,09 €	1	1,00
11465	568			4,00 €	0,21	0,21
11465	578			1,39 €	1	1,00
11465	711			3,50 €	1,4	1,40
11465	801			2,30 €	1,5	1,50
11466	437		0	1,05 €	30	30,00
11466	321		0	0,94 €	60	60,00
11466	407		0	0,94 €	20	20,00
11466	872		0	0,94 €	10	10,00
11467	444		0	0,09 €	750	750,00
11468	568			4,00 €	0,22	0,22
11468	578			1,39 €	1,5	1,50
11468	711			3,50 €	1	1,00
11468	801			2,30 €	1,5	1,50
11468	514			2,54 €	1	1,00
11468	491			1,85 €	1,2	1,20
11469	568			4,00 €	0,22	0,22
11469	578			1,39 €	1,5	1,50
11469	711			3,50 €	1	1,00
11469	801			2,30 €	1,5	1,50
11469	514			2,54 €	1	1,00
11469	491			1,85 €	1,2	1,20
